episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
0, 0.0, 0.0, 0.0
1, -4.365909579171527, 0.0, 0.0
3130, -3282.079525581693, 20.0, 1.0
26903, -25189.570245577284, 226.0, 1.0
505, -540.765740404059, 35.0, 1.0
661, -340.7082064163475, 10.0, 1.0
2347, -2411.452672096755, 165.0, 1.0
260, -214.44287903519748, 18.0, 1.0
1860, -1173.0976647320833, 80.0, 1.0
264, -242.30536672547876, 26.0, 1.0
1234, -1167.8933654301088, 41.0, 1.0
183, -237.34689810864253, 27.0, 1.0
1414, -1199.235626701715, 40.0, 1.0
628, -463.81800818104614, 10.0, 1.0
625, -444.71797821563973, 32.0, 1.0
8, -6.569988676900325, 1.0, 1.0
140, -111.26517346134457, 13.0, 1.0
872, -753.6903706073067, 81.0, 1.0
605, -627.8920632124853, 72.0, 1.0
614, -432.99181961883227, 37.0, 1.0
882, -831.5789576635838, 75.0, 1.0
63, -95.17980055371055, 12.0, 1.0
842, -521.1177244838798, 37.0, 1.0
526, -661.571742399976, 72.0, 1.0
975, -629.000171102637, 45.0, 1.0
585, -434.5413299522553, 37.0, 1.0
494, -253.59967745537065, 18.0, 1.0
737, -576.9043748462848, 22.0, 1.0
692, -741.7927967016402, 62.0, 1.0
336, -252.19853069170026, 24.0, 1.0
256, -273.1144928242744, 35.0, 1.0
77, -82.8606202222919, 7.0, 1.0
66, -31.481811288637424, 0.0, 1.0
742, -710.6191899816497, 47.0, 1.0
724, -645.8329368885668, 47.0, 1.0
75, -76.366878822568, 5.0, 1.0
283, -314.9208553152127, 16.0, 1.0
643, -981.7999361147636, 124.0, 1.0
376, -230.10452391909226, 11.0, 1.0
250, -209.7082428961404, 16.0, 1.0
175, -142.14646016173648, 17.0, 1.0
51, -141.53833695726263, 18.0, 1.0
134, -92.50370250583111, 1.0, 1.0
51, -73.40139078806592, 6.0, 1.0
548, -383.66746635296795, 35.0, 1.0
579, -469.80134603981463, 9.0, 1.0
223, -200.066525632129, 16.0, 1.0
221, -175.7639466078583, 19.0, 1.0
247, -265.7241501069042, 32.0, 1.0
142, -93.8153055903959, 4.0, 1.0
133, -103.651045464182, 9.0, 1.0
22, -21.754355003987918, 2.0, 1.0
144, -107.75907158083963, 9.0, 1.0
47, -40.59385758445503, 1.0, 1.0
65, -122.19179315230045, 11.0, 1.0
18, -32.98501280937036, 3.0, 1.0
138, -104.6037161109311, 10.0, 1.0
100, -75.55355310261348, 1.0, 1.0
85, -146.32550396744065, 20.0, 1.0
172, -128.4992417256948, 4.0, 1.0
78, -57.53537733379724, 4.0, 1.0
