episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
0, 0.0, 0.0, 0.0
1, -4.365909579171527, 0.0, 0.0
3130, -3281.814230550932, 20.0, 1.0
12780, -11924.060446024385, 151.0, 1.0
1261, -1064.163163443738, 65.0, 1.0
104, -101.93664688308374, 7.0, 1.0
1827, -1680.2348714607256, 0.0, 1.0
7223, -6797.64930312485, 206.0, 1.0
151, -126.32448656060525, 9.0, 1.0
241, -238.64370944736592, 19.0, 1.0
1081, -932.6247827956332, 81.0, 1.0
237, -148.74394958814509, 7.0, 1.0
504, -505.1094817116481, 19.0, 1.0
218, -266.0277699214171, 23.0, 1.0
200, -219.83778185909145, 16.0, 1.0
134, -181.8220178806651, 23.0, 1.0
420, -380.9462847229182, 32.0, 1.0
566, -485.0529769857872, 42.0, 1.0
4499, -4050.045613329446, 30.0, 1.0
148, -202.57849333650003, 15.0, 1.0
408, -439.90898158439154, 35.0, 1.0
411, -287.18121675824864, 16.0, 1.0
477, -666.216751328272, 81.0, 1.0
289, -492.4171983508784, 63.0, 1.0
52, -63.578153357101634, 5.0, 1.0
2029, -2086.8330098272036, 7.0, 1.0
394, -487.9451397373469, 54.0, 1.0
10571, -10844.08163299584, 98.0, 1.0
5016, -5800.632180473568, 231.0, 1.0
94, -58.78310232638649, 2.0, 1.0
146, -179.08158243871972, 19.0, 1.0
250, -232.62941964582288, 7.0, 1.0
48, -65.29217209059657, 8.0, 1.0
1637, -2051.5294016976495, 107.0, 1.0
382, -489.63261713609273, 27.0, 1.0
84, -106.89276310952066, 10.0, 1.0
315, -379.10899852283296, 13.0, 1.0
153, -164.74739652975646, 9.0, 1.0
140, -206.7562137775621, 25.0, 1.0
84, -153.18709289047263, 9.0, 1.0
63, -78.45451152301531, 9.0, 1.0
486, -585.9231006243525, 37.0, 1.0
191, -363.57189108569224, 37.0, 1.0
357, -412.16536494476816, 19.0, 1.0
76, -187.04347246730353, 27.0, 1.0
95, -89.38426320370263, 0.0, 1.0
499, -614.1957469151014, 35.0, 1.0
982, -1560.6293869990147, 130.0, 1.0
632, -1498.3184590028795, 201.0, 1.0
116, -293.9735432658304, 38.0, 1.0
74, -83.23647768697381, 9.0, 1.0
58, -75.4728945409312, 5.0, 1.0
37, -50.18176877074945, 4.0, 1.0
305, -571.6461659142005, 74.0, 1.0
63, -152.28067087273152, 20.0, 1.0
147, -271.2121195357366, 36.0, 1.0
71, -79.42029923932665, 7.0, 1.0
87, -138.28936999371317, 13.0, 1.0
109, -160.87824863233132, 21.0, 1.0
71, -219.13314371344995, 30.0, 1.0
