episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
0, 0.0, 0.0, 0.0
1, -4.365909579171527, 0.0, 0.0
3130, -3281.4438812714548, 20.0, 1.0
4165, -3491.3305485064807, 57.0, 1.0
8757, -8581.694081225007, 105.0, 1.0
903, -663.0149664286403, 31.0, 1.0
288, -309.68733562324917, 23.0, 1.0
3282, -3240.427088973139, 21.0, 1.0
1084, -994.2939618138802, 85.0, 1.0
680, -716.4638631730148, 29.0, 1.0
15216, -13049.809699931307, 94.0, 1.0
14091, -11617.904484031818, 54.0, 1.0
246, -284.3083023996468, 22.0, 1.0
512, -534.4698120059476, 31.0, 1.0
2143, -1892.1561069305212, 68.0, 1.0
1723, -1514.5772563710123, 80.0, 1.0
788, -725.8570751017593, 22.0, 1.0
261, -227.330478254736, 7.0, 1.0
10, -1.3981202902773318, 0.0, 1.0
1169, -887.1583713665287, 15.0, 1.0
834, -589.1036835886323, 25.0, 1.0
1335, -1044.5716036966573, 43.0, 1.0
44, -44.17290472882859, 3.0, 1.0
201, -162.99218811297845, 9.0, 1.0
478, -446.2260453697827, 32.0, 1.0
340, -361.8834371175863, 36.0, 1.0
422, -352.69185857825266, 13.0, 1.0
88, -74.81523887479644, 5.0, 1.0
142, -101.33258572051673, 1.0, 1.0
344, -399.91286374908793, 31.0, 1.0
339, -346.17226170670995, 34.0, 1.0
131, -185.73723096982272, 17.0, 1.0
1348, -1505.4137051991752, 67.0, 1.0
152, -120.35662879130113, 7.0, 1.0
655, -677.1196732703638, 14.0, 1.0
479, -386.3095263736585, 10.0, 1.0
767, -638.3245960744495, 6.0, 1.0
357, -370.39229081576735, 15.0, 1.0
191, -205.16230007952672, 13.0, 1.0
246, -170.0474777457496, 0.0, 1.0
406, -322.717551793683, 17.0, 1.0
861, -652.6032174174762, 22.0, 1.0
1, 0.9665686775538441, 0.0, 1.0
502, -774.1954145197748, 63.0, 1.0
246, -201.80851320139925, 12.0, 1.0
111, -180.17348954692588, 20.0, 1.0
159, -145.45586744629173, 12.0, 1.0
215, -166.41943722824695, 0.0, 1.0
121, -93.87861107066823, 7.0, 1.0
268, -307.34781232016144, 31.0, 1.0
102, -82.71489405351979, 2.0, 1.0
846, -573.3879070777408, 18.0, 1.0
442, -768.4244919047626, 66.0, 1.0
711, -525.9159635183385, 26.0, 1.0
133, -95.50061689609534, 4.0, 1.0
198, -259.25470241585487, 25.0, 1.0
470, -678.1432219783806, 77.0, 1.0
55, -49.805279803117735, 0.0, 1.0
172, -169.69631696068365, 16.0, 1.0
86, -55.99211684475117, 0.0, 1.0
