episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
0, 0.0, 0.0, 0.0
1, -1.3208201236116235, 0.0, 0.0
4093, -4132.5171272588, 32.0, 1.0
3618, -2825.334291713668, 49.0, 1.0
1334, -977.3600789830996, 28.0, 1.0
314, -206.719075643777, 5.0, 1.0
2048, -1615.0254633356726, 108.0, 1.0
662, -554.8445811423521, 26.0, 1.0
1004, -816.9194146839793, 50.0, 1.0
592, -574.4090328689746, 58.0, 1.0
2159, -1836.206058996586, 48.0, 1.0
70, -69.72401987096106, 2.0, 1.0
157, -146.96940540633454, 4.0, 1.0
129, -125.72262644401769, 7.0, 1.0
990, -975.8642170260083, 64.0, 1.0
62, -36.89500934274927, 3.0, 1.0
528, -357.593619378413, 17.0, 1.0
100, -99.14126229947958, 9.0, 1.0
282, -258.71220360333024, 21.0, 1.0
180, -161.9219305678931, 11.0, 1.0
118, -104.41841361850513, 9.0, 1.0
668, -487.4412810954111, 22.0, 1.0
98, -77.96237381710424, 5.0, 1.0
1005, -917.378540152123, 53.0, 1.0
362, -512.295205693675, 61.0, 1.0
110, -126.35387634431072, 13.0, 1.0
613, -643.5739529505476, 61.0, 1.0
776, -804.0463115400518, 81.0, 1.0
242, -242.46477159504533, 24.0, 1.0
128, -97.80439265867447, 7.0, 1.0
168, -208.72310038417032, 21.0, 1.0
441, -378.18258379148944, 25.0, 1.0
405, -360.0353155855367, 13.0, 1.0
1296, -1238.5566549357354, 131.0, 1.0
267, -239.35420672218558, 19.0, 1.0
153, -181.49943369943935, 11.0, 1.0
212, -169.16279470202966, 14.0, 1.0
621, -635.7249204823225, 67.0, 1.0
77, -126.77323261009276, 15.0, 1.0
242, -153.92869358832158, 3.0, 1.0
93, -34.595442211937375, 0.0, 1.0
66, -69.81719528008898, 5.0, 1.0
702, -731.2772062997852, 56.0, 1.0
843, -848.7908102508047, 42.0, 1.0
302, -332.389568956493, 33.0, 1.0
182, -266.87251441094077, 33.0, 1.0
219, -232.3833169698031, 15.0, 1.0
119, -88.64156681040032, 3.0, 1.0
611, -457.5365630101005, 15.0, 1.0
165, -133.731005223312, 2.0, 1.0
393, -260.53191662887593, 0.0, 1.0
1450, -1248.3921394284077, 77.0, 1.0
265, -366.7732658010333, 44.0, 1.0
223, -230.44161248800734, 21.0, 1.0
357, -474.3986183889078, 58.0, 1.0
152, -250.33949186105028, 34.0, 1.0
235, -253.1521033997452, 25.0, 1.0
414, -420.198214604413, 32.0, 1.0
50, -15.157252079454395, 0.0, 1.0
17, -11.51957188841424, 1.0, 1.0
282, -229.80281091309436, 22.0, 1.0
