episode, total_reward, respect, done
episode, total_reward, respect, done
episode, total_reward, respect, done
0, 0.0, 0.0, 0.0
1, -4.365909579171527, 0.0, 0.0
3130, -3281.6220491236136, 20.0, 1.0
5829, -4951.394464978421, 86.0, 1.0
7073, -6597.797868469926, 90.0, 1.0
921, -802.8721800839475, 55.0, 1.0
97, -69.12982066442181, 1.0, 1.0
175, -132.70430270505332, 3.0, 1.0
554, -597.5182016302091, 57.0, 1.0
1355, -998.7893831467802, 60.0, 1.0
431, -581.4375032918875, 66.0, 1.0
678, -502.5549888151809, 32.0, 1.0
1338, -1453.1563027446232, 2.0, 1.0
1639, -1729.301973438311, 97.0, 1.0
870, -867.0332010248377, 73.0, 1.0
600, -885.347765407457, 109.0, 1.0
876, -727.8470447628888, 59.0, 1.0
22486, -19332.154034648294, 198.0, 1.0
790, -808.796846658079, 46.0, 1.0
130, -117.94302663675168, 8.0, 1.0
1620, -1190.373368534527, 33.0, 1.0
672, -473.47291964087015, 13.0, 1.0
88, -60.838109804964176, 2.0, 1.0
94, -54.49742048831753, 0.0, 1.0
394, -320.95999684338585, 24.0, 1.0
280, -566.8323657287222, 68.0, 1.0
114, -91.6639208214226, 5.0, 1.0
433, -327.11138264994156, 1.0, 1.0
216, -179.38957683386144, 13.0, 1.0
730, -528.2177255322333, 3.0, 1.0
139, -111.24416933122728, 4.0, 1.0
329, -337.90270344654897, 17.0, 1.0
99, -111.38849549745994, 7.0, 1.0
406, -628.2246884337799, 64.0, 1.0
112, -137.89253531268884, 5.0, 1.0
126, -169.91860155401505, 14.0, 1.0
108, -158.8357775687295, 12.0, 1.0
183, -261.7679461282068, 24.0, 1.0
260, -199.90490092464853, 5.0, 1.0
302, -362.576189520624, 22.0, 1.0
844, -701.5405383718897, 47.0, 1.0
289, -584.5082307398674, 61.0, 1.0
216, -278.680497678128, 27.0, 1.0
1096, -983.7189604629102, 43.0, 1.0
27, -16.503525756284457, 1.0, 1.0
85, -48.09154489509687, 0.0, 1.0
120, -158.71856993596947, 14.0, 1.0
261, -497.5940562762568, 57.0, 1.0
1167, -1010.5674077610443, 63.0, 1.0
135, -185.07828380243237, 20.0, 1.0
576, -531.6888981157836, 35.0, 1.0
357, -493.0154412230738, 42.0, 1.0
129, -130.4395171562792, 6.0, 1.0
526, -715.1237353517973, 64.0, 1.0
40, -59.78252627472069, 4.0, 1.0
110, -70.46931579659052, 3.0, 1.0
47, -32.52133272120562, 1.0, 1.0
213, -466.03987290520337, 55.0, 1.0
1283, -884.402862789215, 27.0, 1.0
32, -84.39275966475799, 11.0, 1.0
217, -334.7324371055282, 27.0, 1.0
